"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 10 23:34:56 GMT 2025","Tue Jun 10 23:34:58 GMT 2025","1471","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Jun 10 23:34:58 GMT 2025","Tue Jun 10 23:35:00 GMT 2025","1447","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Jun 10 23:34:53 GMT 2025","Tue Jun 10 23:34:56 GMT 2025","3050","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Jun 10 23:34:51 GMT 2025","Tue Jun 10 23:34:52 GMT 2025","1701","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 23:35:02 GMT 2025","Tue Jun 10 23:35:04 GMT 2025","1857","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jun 10 23:34:59 GMT 2025","Tue Jun 10 23:35:02 GMT 2025","2232","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jun 10 23:34:53 GMT 2025","Tue Jun 10 23:34:54 GMT 2025","1583","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 23:34:55 GMT 2025","Tue Jun 10 23:34:57 GMT 2025","1818","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Jun 10 23:34:51 GMT 2025","Tue Jun 10 23:34:52 GMT 2025","1756","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 10 23:35:00 GMT 2025","Tue Jun 10 23:35:03 GMT 2025","3152","LMS system","Courses","Courses","","","Edit course",""
