"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 14 13:18:58 GMT 2025","Sat Jun 14 13:19:00 GMT 2025","2096","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Jun 14 13:19:02 GMT 2025","Sat Jun 14 13:19:05 GMT 2025","2230","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Jun 14 13:18:56 GMT 2025","Sat Jun 14 13:18:57 GMT 2025","1418","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 13:18:53 GMT 2025","Sat Jun 14 13:18:55 GMT 2025","2070","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 13:18:53 GMT 2025","Sat Jun 14 13:18:55 GMT 2025","2026","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 13:19:03 GMT 2025","Sat Jun 14 13:19:06 GMT 2025","3153","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Jun 14 13:18:59 GMT 2025","Sat Jun 14 13:19:01 GMT 2025","1389","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Jun 14 13:19:05 GMT 2025","Sat Jun 14 13:19:07 GMT 2025","1838","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Jun 14 13:18:56 GMT 2025","Sat Jun 14 13:18:59 GMT 2025","2977","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sat Jun 14 13:19:02 GMT 2025","Sat Jun 14 13:19:03 GMT 2025","1481","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
