"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 11 10:36:24 GMT 2025","Wed Jun 11 10:36:27 GMT 2025","2961","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Jun 11 10:36:29 GMT 2025","Wed Jun 11 10:36:31 GMT 2025","1344","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Jun 11 10:36:33 GMT 2025","Wed Jun 11 10:36:35 GMT 2025","1799","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Jun 11 10:36:24 GMT 2025","Wed Jun 11 10:36:25 GMT 2025","1539","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Jun 11 10:36:22 GMT 2025","Wed Jun 11 10:36:23 GMT 2025","1667","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Jun 11 10:36:26 GMT 2025","Wed Jun 11 10:36:28 GMT 2025","1799","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Jun 11 10:36:27 GMT 2025","Wed Jun 11 10:36:29 GMT 2025","1412","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Jun 11 10:36:30 GMT 2025","Wed Jun 11 10:36:32 GMT 2025","2232","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Jun 11 10:36:31 GMT 2025","Wed Jun 11 10:36:34 GMT 2025","3154","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Jun 11 10:36:22 GMT 2025","Wed Jun 11 10:36:23 GMT 2025","1630","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
