"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 11 10:53:05 GMT 2025","Wed Jun 11 10:53:08 GMT 2025","3073","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Jun 11 10:53:10 GMT 2025","Wed Jun 11 10:53:12 GMT 2025","1304","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Jun 11 10:53:08 GMT 2025","Wed Jun 11 10:53:10 GMT 2025","1427","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Jun 11 10:53:11 GMT 2025","Wed Jun 11 10:53:14 GMT 2025","2284","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Jun 11 10:53:03 GMT 2025","Wed Jun 11 10:53:04 GMT 2025","1655","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Jun 11 10:53:05 GMT 2025","Wed Jun 11 10:53:06 GMT 2025","1538","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Jun 11 10:53:12 GMT 2025","Wed Jun 11 10:53:15 GMT 2025","3205","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Jun 11 10:53:14 GMT 2025","Wed Jun 11 10:53:16 GMT 2025","1783","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Jun 11 10:53:07 GMT 2025","Wed Jun 11 10:53:09 GMT 2025","1838","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Jun 11 10:53:03 GMT 2025","Wed Jun 11 10:53:04 GMT 2025","1686","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
