"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 14 13:12:47 GMT 2025","Sat Jun 14 13:12:49 GMT 2025","1680","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 13:12:53 GMT 2025","Sat Jun 14 13:12:54 GMT 2025","1596","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Jun 14 13:12:57 GMT 2025","Sat Jun 14 13:13:00 GMT 2025","3339","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Jun 14 13:12:47 GMT 2025","Sat Jun 14 13:12:49 GMT 2025","1654","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 13:12:49 GMT 2025","Sat Jun 14 13:12:53 GMT 2025","3171","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sat Jun 14 13:12:52 GMT 2025","Sat Jun 14 13:12:53 GMT 2025","1626","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Jun 14 13:12:59 GMT 2025","Sat Jun 14 13:13:01 GMT 2025","1727","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Jun 14 13:12:49 GMT 2025","Sat Jun 14 13:12:51 GMT 2025","1625","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 14 13:12:55 GMT 2025","Sat Jun 14 13:12:56 GMT 2025","1422","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Jun 14 13:12:56 GMT 2025","Sat Jun 14 13:12:59 GMT 2025","2549","LMS system","Courses","Courses","","","Create course",""
