"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 10 23:32:35 GMT 2025","Tue Jun 10 23:32:35 GMT 2025","0","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"broken","Tue Jun 10 23:32:35 GMT 2025","Tue Jun 10 23:32:35 GMT 2025","0","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"broken","Tue Jun 10 23:32:35 GMT 2025","Tue Jun 10 23:32:35 GMT 2025","0","LMS system","Courses","Courses","","","Create course",""
"broken","Tue Jun 10 23:32:35 GMT 2025","Tue Jun 10 23:32:35 GMT 2025","0","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"broken","Tue Jun 10 23:32:34 GMT 2025","Tue Jun 10 23:32:34 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Tue Jun 10 23:32:34 GMT 2025","Tue Jun 10 23:32:34 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Tue Jun 10 23:32:35 GMT 2025","Tue Jun 10 23:32:35 GMT 2025","0","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"broken","Tue Jun 10 23:32:35 GMT 2025","Tue Jun 10 23:32:35 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"broken","Tue Jun 10 23:32:35 GMT 2025","Tue Jun 10 23:32:35 GMT 2025","0","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Tue Jun 10 23:32:35 GMT 2025","Tue Jun 10 23:32:35 GMT 2025","0","LMS system","Courses","Courses","","","Edit course",""
